"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
land,土地,陸. 着陸する. 上陸する
landau,ランドー,ランドー. ランドー型自動車. ランドー馬車
landfall,上陸,陸地接近. 地滑り. 山崩れ. 圧勝
landfill,埋め立て,埋め立てごみ処理(地). ごみの埋め立て処理場
landing,着陸,着陸. 上陸
landlady,女将,女主人. 女家主
landlocked,内陸の,内陸国. 海岸線がない国
landlord,家主,家主. 地主
landlubber,新米の船員,海に慣れていない水夫. 新米水夫
landmark,ランドマーク,画期的な出来事. 陸標
landowner,地主,土地所有者
landscape,風景,の風景を美化する. 庭師をする. 景色. 風景画
landscaped,手入れの行き届いた,見晴らしが良い
landscaping,造園,造園 
landslide,地滑り,山くずれ. 地滑り. (地滑り的な)大勝利
lane,LANE,狭い道. 小道. 通路. 小径
Langerhans,ランゲルハンス,ドイツの医師. islets of Langerhans(膵臓の内分泌を営む細胞群)やランゲルハンス細胞(Langerhans cell表皮の樹状細胞)を発見した
language,言語,言語
langue,ラング,言語(抽象的言語体系)
languid,だるい　,不活発な. だるい
languish,しおれる,衰える. 元気がなくなる. 苦しい生活を送る. みじめな状態で存在する
languor,だるさ,(け)だるさ. 倦怠. 無気力. 思い悩み. 物思い
languorous,気だるい　,けだるい
Lanka,スリランカ,スリランカ民主社会主義共和国 Democratic Socialist Republic of Sri Lanka
Lankan,スリランカ,スリランカの 
lanky,ひょろひょろ,やせ気味の
lantern,ランタン,ランタン. カンテラ. 提灯
Lao,ラオス,"ラオス人民民主共和国 Lao People's Democratic Republic. ASEAN10ヶ国唯一の内陸国. 首都ヴィエンチャン. 人口1,000弱. メコン川がタイとの国境をなす"
lap,ラップ,"座った時の腰からひざ頭まで,子供等のせる場所. (knee は足のひざまたは膝関節). 2. (猫,犬などが)なめること. 3. さざ波の音. 4. (競技)走路の一周. (cf. wrap,lap,rap)"
lapdog,lapdog,小さな愛玩犬. 吠え声ばかり大きい無力な人. 盲信者. 心酔者
lapel,ラペル,襟の折り返し
lapidary,宝石細工の,宝石. 宝石細工の. 玉彫りの. 玉みがきの
lapin,ラパン,ウサギ(の毛皮)
lapse,失効,誤り. 堕落(する). 衰退. (時の)経過. (権利の)消滅. 横道にそれる. 無効になる. 人手に渡る
laptop,ノートパソコン,ひざ置き型の. 小型で携帯可能な. ラップトップの
larceny,窃盗,窃盗罪. 盗み
lard,ラード,ラード(豚の脂肉). -をはさむ
large,大,大きい. (数･量が)多い
largely,主として,主として. 大部分. 大いに
larger,より大きい,より大きい 
largess,贈り物,気前のよい援助･贈り物
largesse,寛大さ,過分の祝儀. 贈り物. 祝儀. 気前のいい援助
largest,最大,最大の 
largish,やや大きい　,やや大きい
largo,ラルゴ,ラルゴ. きわめておそい(おそく)
lariat,ラリアット,投げ縄
lark,ヒバリ,をからかう. ふざける. いたずら. 戯れ. 2. ひばり
Larry,ラリー,ラリー(人名). (rallyは集会･ラリー)
larva,幼生,"幼生. larva(複数形はlarvae). 卵生で変態する動物について,「孵化から変態まで」の形態を幼生という"
larval,幼虫の,幼虫の
larynx,喉頭,喉頭. 咽頭
lasagna,ラザニア,(ｲﾀﾘｱ語)ラザーニャ. イタリアのパスタ料理の一種
lascivious,みだらな,みだらな. 淫らな
lasciviously,みだらに,みだらに. 挑発的に
laser,レーザー,レーザー光
lash,ラッシュ,"さっと動かす. 鞭. マツゲ. (cf. lush. (植物)生い茂った,(香り)豊かな. 大酒飲み. 深酒する. lash. むち(打ち). マツゲ. 縛る. 打つ. rush. 突進. イグサ. 大急ぎの. 急ぐ. rash. 発疹. 多発. 性急な)"
lass,小娘,若い女. 少女. 恋人
lassa,ラッサ,Lassa feverラッサ熱. アフリカ起源のウィルス性の出血熱のひとつ
lassie,ラッシー,(スコットランド方言)娘. 少女. お嬢さん
lassitude,無気力,体のだるさ. 倦怠. 無気力. 疲労. だるさ
lasso,投げ縄,投げ縄. 投げ縄で捕らえる
last,最後の,最後の. この前の. 昨～. 先～
lasting,持続的な,長持ちする. 続く. 永続する. 耐久. 恒久
lastly,最後に,最後に
lat,lat,緯度(latitude). おもり. 釣り合い
latch,ラッチ,ラッチ. 掛けがね. 掛金
late,遅い　,遅れた. 遅刻した. 遅く
latecomer,遅刻者,遅参者
lately,最近,近ごろ. 最近
latency,待ち時間,待ち時間 
latent,潜在的な,潜伏している. 隠れている. 潜在している. 見えない
later,後で,後で. lateの比較級. 後に
lateral,側面,側面. 横の
laterality,左右差,左右差 
latest,最新,最も遅い. 最近の
latex,ラテックス,乳液. ラテックス
lathe,旋盤,旋盤. 旋盤にかける
lather,泡,に石けん泡を塗る. 馬の泡汗. 石鹸の泡
Latin,ラテン,ラテン語の. ラテン系の. ラテン語
Latino,ラテンアメリカ人,ラテンアメリカ人 
latitude,緯度,緯度. 許容範囲. 自由裁量
latrine,トイレ,便所. トイレ
latter,後者,後者. 後の方の. 近ごろの
lattice,格子,格子. (cf. grid. grill. lattice)
Latvia,ラトビア,ラトビア共和国 Republic of Latvia
laud,称賛,(大げさに)賞賛(する). 称賛(する)
laudable,称賛に値する,賞賛に値する. あっぱれな
laudanum,アヘンチンキ,"ローダナム. 阿片チンキ(opium tincture). アヘン末のエタノール浸出液. アヘンのアルカロイド(特にモルヒネ)を含み,歴史的に様々な病気治療,鎮痛,咳止め,今も下痢の治療に使われる"
laudatory,賛美の,賞賛の
laugh,笑い,笑う
laughable,ばかばかしい　,面白い
laughably,ばかばかしいほど,ばかばかしいほど 
laughing,笑い,笑い 
laughingstock,笑いもの,笑い者. 笑いぐさ
laughter,笑い,笑い(声)
launch,打ち上げ,(新造船を)進水させる. 発射する. 始める. 進水. 発射. 打ち上げ. 艦艇大型ボート. ランチ
launcher,ランチャー,"ランチャー,ロケット等の発射台 "
launching,発射,発射 
launder,洗濯する,洗たくする. 洗たくしてアイロンをかける
laundering,洗浄,洗い替え 
Laundromat,コインランドリー,ローンドロマット(米国のコインランドリー)
laundry,ランドリー,洗濯
Laura,ローラ,ローラ (人名)
laureate,受賞者,栄誉のある
laurel,月桂樹,栄誉を与える. 月桂樹. 栄誉. ゲッケイジュ. 月桂冠. 勝利
Lauren,ローレン,ローレン (人名)
Laurence,ローレンス,ローレンス(人名)
lava,溶岩,溶岩
lavage,洗浄,(胃などの)洗浄
lavatory,トイレ,洗面台. 便所. トイレ
lavender,ラベンダー,ラベンダー色の. ラベンダー. 薄紫. フジ色. 保管用ポジフイルム
laver,海苔,浅草のり. ノリ
lavish,豪華な,を浪費する. 物惜しみしない. 気前のよい. 贅沢な. 豊富な. ぜいたくな
lavishly,惜しげなく,惜しげなく. 気前よく
law,法律,法律. 法則
lawful,合法的,法的に認められた. 合法の
lawfully,合法的に,合法的に 
lawless,無法の,法律を守らない. 非合法の. 無法の
lawlessness,不法,無法状態
lawmaker,立法者,立法者. legislator. (国会)議員
lawmaking,立法,立法の. 立法
lawn,芝生,芝生
lawnmower,芝刈り機,芝刈り機
Lawrence,ローレンス,ローレンス(人名)
lawsuit,訴訟,訴訟. 告訴
lawyer,弁護士,弁護士. 法律家
lawyering,lawyering,弁護士業 
lax,緩い　,緩んだ. 緩慢な. だらしない
laxative,下剤,下剤(の). 通じ薬(の)
laxity,弛緩,緩み
lay,横たえる,"(他動詞 lay-laid-laid-laying)横たえる,並べる. 置く. 位置. 状態. Cf. lie-lay-lain-lying. (自動詞)横たわる,横になる. "
layer,層,置く. 層にしておく. 層. 積み重ね
layman,素人,信徒でない人. 専門家でない人. 素人. 門外漢
layoff,一時解雇する,一時帰休
layout,レイアウト,並べること. 広げること. 割り付け
layover,待ち合わせ,旅行途中の一時的滞在
laze,過ごす,怠ける
lazily,なまけて,怠けて. 穏やかに
laziness,怠惰,怠惰. 無情
lazy,怠惰な,怠惰な. のろのろした. 眠気を誘う
lb,ポンド,パウンド(pound)はヤード・ポンド法における重さの単位. 1パウンド=約454g 
LC,LC,Liquid Crystal液晶. Local Call国内通話. Lower Case小文字. Letter of Credit信用状. Local Currency現地通貨. Listening Comprehension聞き取り力 
LCP,LCP,Liquid Crystal Polymer(or Liquid Crystal Plastic)液晶ポリマー(熱可塑性合成樹脂).  2. Link Control Protocol(リンク制御プロトコル)
LD,LD,Laser Diode. 半導体レーザー. 2. Learning Disability 学習障害. 3. レーザーディスクLaser Disc. 4. 致死量Lethal Dose 他
LDL,LDL,low-density lipoprotein cholesterol. LDLコレステロール(いわゆる悪玉コレステロール). (cf. HDL(High-density))
LE,LE,Limited Edition限定版. Less than or Equal toより小さいか等しい. 不等号「≦」 他
lea,リー,草原. 草地. 牧草地
leach,浸出する,(液体)をこす. 濾過する
lead,鉛,導く. をリードする. 2. 鉛. (cf. reed. ヨシ. アシ. リード楽器)
leaded,有鉛の,有鉛の
leaden,鉛色の,重い. 鉛色の
leader,リーダー,リーダー. 指導者
leadership,リーダーシップ,指導者の地位. 統率力. 指導者たち
leading,リーディング,先導する. 主要な. 主な. 優れた
leadoff,リードオフ,最初の
leads,リード,屋根を葺く鉛板. 鉛板葺き屋根. (ステンドグラスなどの)鉛の窓枠
leaf,葉,葉(pl. leaves). (foliage(葉の総称). leaf. a needle(針葉). a blade(草の葉). a frond(シダなどの))
leaflet,リーフレット,小葉状の部分(構造). 印刷物. ちらし. 小葉. 若葉
leafy,葉に覆われた,葉に覆われた. 葉の多い. 葉のような
league,リーグ,盟約を結ぶ(結ばせる). 同盟. 連盟. 仲間. 同盟する(させる)
leaguer,リーガー,連盟加入者(団体. 国). 2. (野球)リーグの選手
Leah,リア,リア(人名). (リア王はKing Lear)
leak,リーク,を漏らす. 情報漏れ. 漏電. (cf. leek. ニラネギは別綴)
leakage,漏れ,漏れ. 漏電. 漏水. 漏出
leaky,漏れやすい　,(秘密を)漏らしやすい
leal,忠実な,忠実な. 誠実で本当の(faithful and true)
lean,よりかかる,もたれる. 曲げる. かがむ. (～に)傾く. 頼る. 収穫の少ない. やせた. やせている. 乏しい. やせた部分. 赤身の
leaning,傾斜,傾き. 傾くこと. 傾向. 好み. 性癖. 偏愛
leap,跳躍,ぴょんと飛ぶ. 跳ぶ. はねる. を跳び越える. 飛躍. 急激な変化
leapfrog,馬跳び,馬跳び(をする)
Lear,リア王,King Lear. リア王. 2人の娘に裏切られたウィリアム･シェークスピア作の悲劇の主人公. Leah(人名)は別綴り
learn,学ぶ,を学ぶ
learned,学んだ,学問のある. 学問の
learner,学習者,学習者
learning,学習,学問. 学識学習
learnt,学んだ,学んだ
lease,リース,賃貸契約. (土地･建物など)を賃貸する. 賃借する
leash,リーシュ,(犬などを)つなぐひも. 鎖
leasing,賃借,賃借 
least,最低,最少の. 最も価値の少ない. 最少. 最少限度
leather,レザー,なめし皮. 皮革
leathery,革のような,革のような. (革のように)頑丈な. (肉などが)固い
leave,残す,去る. (イメージ:対象をある状態のままその場に残す). 許可. 休暇
leaven,パン種,イースト. 酵母. 潜在的影響力. (集団内部からおこる)改革向上意識
leaving,退出,(複数で)残り物. くず
Lebanese,レバノン人,レバノン(人)の
Lebanon,レバノン,レバノン共和国 Republic of Lebanon
lech,好色な男,(létʃ)好色な男. 好色家 2. 人名(レフ)
leche,レチェ,レチェ. 練乳 
lecherous,好色な,(男が)好色な. 淫乱な. みだらな
lecithin,レシチン,"レシチン. グリセロリン脂質の一種. 動植物の全細胞中に存在する,生体膜の主要構成成分"
lecture,講義,小言を言う. 講演. 講義する. 講義. 説教
lecturer,講師,講演者. 講師
ledge,レッジ,出っ張り. 出っぱり. 棚. 岩礁
ledger,元帳,元帳. 台帳
lee,リー,残りかす. 保護. 物陰. 2. 風下の. 風下(反. windward. 風上の)
leech,リーチ,ヒル. 吸血鬼. 高利貸し. まとわりつく
leek,ニラネギ,ニラ. にらねぎ(洋種のねぎ)
leer,流し目,流し目(で見る)
leery,疑い深い　,用心深い
leeway,ゆとり,(時間的･金銭的)余裕. 行動の自由. 大目にみること
left,左,左の. 左側
leftie,leftie,(=lefty). 左利き(の人). 左腕投手. 左派の人. 左翼. 左手の
leftist,左翼,左翼の人. 急進派の人
leftover,残りの,残り物. 残り(物). 残飯. 残りの
leftovers,残り物,残り物 
leftward,左方向に,左側の. 左に向かう
lefty,左利きの,左利き
leg,脚,足
legacy,レガシー,遺産. 遺物. 先祖伝来のもの. 形見
legal,法的,法律の. 強制的な. 法定の. 合法の
legalism,律法主義,お役所的形式主義. 規則一点張り. 法律上の事柄. 法律尊重主義. 法律問題
legalistic,律法主義の,律法主義の 
legality,合法性,適法. 合法(性)
legalization,合法化,合法化 
legalize,合法化する,合法化する
legalized,合法化,合法化 
legally,合法的に,法律的に. 合法的に
legation,公使館,公使館. (集合的)公使館員
legend,伝説,言い伝え. 伝説. 題銘. 表題. 解説
legendary,伝説の,伝説集. 伝説の
leger,元帳,ledger. 原簿. 元帳. 台帳. 宿帳
legerdemain,曲芸,手品(の早わざ). ごまかし. 虚偽. こじつけ
legged,脚の,脚の 
leggy,脚の長い　,足のひょろ長い. 足の長い
legible,読みやすい　,(字が)読みやすい. 判読可能な. 見易い
legion,軍団,歩兵軍団. 軍隊. 多数. きわめて多い. おびただしい
legislate,法制化する,法律を制定する
legislation,法律,法律制定. 法規. 法律. 法
